iter	Passed	Remaining
407	5513	8000
408	5531	7992
409	5547	7982
410	5563	7973
411	5579	7962
412	5593	7950
413	5607	7937
414	5628	7934
415	5649	7931
416	5667	7923
417	5682	7912
418	5697	7900
419	5711	7887
420	5725	7874
421	5742	7865
422	5757	7853
423	5773	7842
424	5788	7831
425	5804	7820
426	5818	7808
427	5832	7794
428	5844	7779
429	5857	7765
430	5870	7750
431	5884	7736
432	5897	7721
433	5909	7706
434	5922	7691
435	5935	7677
436	5947	7662
437	5961	7648
438	5973	7633
439	5987	7621
440	6003	7609
441	6017	7597
442	6031	7583
443	6045	7571
444	6060	7558
445	6073	7544
446	6087	7530
447	6101	7518
448	6117	7506
449	6131	7493
450	6147	7483
451	6165	7474
452	6180	7463
453	6198	7454
454	6217	7447
455	6234	7437
456	6250	7427
457	6263	7412
458	6278	7399
459	6293	7388
460	6308	7375
461	6323	7364
462	6337	7350
463	6349	7334
464	6362	7320
465	6375	7306
466	6388	7291
467	6401	7276
468	6414	7262
469	6426	7247
470	6439	7232
471	6452	7217
472	6466	7204
473	6478	7189
474	6491	7175
475	6509	7165
476	6522	7151
477	6536	7137
478	6548	7123
479	6562	7108
480	6576	7096
481	6589	7082
482	6603	7067
483	6616	7054
484	6630	7040
485	6642	7025
486	6657	7013
487	6673	7001
488	6686	6987
489	6700	6973
490	6712	6958
491	6725	6943
492	6739	6931
493	6757	6921
494	6776	6913
495	6792	6902
496	6807	6890
497	6822	6877
498	6837	6864
499	6852	6852
500	6868	6841
501	6882	6828
502	6896	6814
503	6908	6799
504	6921	6784
505	6934	6770
506	6947	6755
507	6961	6741
508	6975	6728
509	6988	6714
510	7003	6701
511	7020	6691
512	7036	6679
513	7051	6666
514	7065	6653
515	7078	6639
516	7092	6626
517	7105	6611
518	7118	6596
519	7131	6583
520	7144	6568
521	7157	6554
522	7171	6540
523	7186	6528
524	7200	6514
525	7230	6515
526	7244	6502
527	7258	6488
528	7274	6477
529	7289	6464
530	7304	6451
531	7318	6438
532	7332	6424
533	7346	6411
534	7364	6400
535	7377	6386
536	7392	6373
537	7406	6359
538	7419	6346
539	7433	6332
540	7446	6317
541	7459	6303
542	7473	6289
543	7488	6276
544	7501	6262
545	7514	6248
546	7529	6235
547	7543	6222
548	7556	6207
549	7570	6194
550	7584	6180
551	7597	6166
552	7611	6152
553	7624	6138
554	7638	6124
555	7650	6109
556	7664	6095
557	7676	6081
558	7688	6065
559	7703	6052
560	7719	6040
561	7737	6029
562	7752	6017
563	7769	6005
564	7791	5998
565	7807	5986
566	7825	5976
567	7842	5965
568	7855	5950
569	7868	5935
570	7881	5921
571	7894	5906
572	7907	5892
573	7919	5877
574	7932	5863
575	7946	5849
576	7959	5835
577	7972	5820
578	7986	5806
579	7999	5792
580	8012	5778
581	8025	5763
582	8040	5750
583	8054	5737
584	8067	5723
585	8079	5708
586	8092	5694
587	8106	5679
588	8118	5665
589	8131	5650
590	8144	5636
591	8157	5622
592	8171	5608
593	8183	5593
594	8195	5578
595	8208	5564
596	8224	5552
597	8238	5538
598	8252	5524
599	8266	5510
600	8278	5496
601	8292	5482
602	8308	5469
603	8321	5455
604	8334	5441
605	8348	5427
606	8361	5413
607	8374	5399
608	8387	5385
609	8399	5370
610	8412	5356
611	8425	5341
612	8439	5327
613	8451	5313
614	8465	5299
615	8479	5286
616	8492	5271
617	8504	5256
618	8516	5242
619	8529	5227
620	8541	5213
621	8557	5200
622	8572	5187
623	8586	5174
624	8600	5160
625	8613	5146
626	8627	5132
627	8639	5117
628	8652	5103
629	8665	5089
630	8678	5075
631	8691	5061
632	8703	5046
633	8716	5031
634	8730	5018
635	8744	5004
636	8758	4990
637	8771	4976
638	8783	4962
639	8796	4947
640	8811	4935
641	8824	4920
642	8837	4906
643	8850	4892
644	8862	4877
645	8875	4863
646	8889	4849
647	8901	4835
648	8914	4821
649	8927	4807
650	8939	4792
651	8952	4778
652	8964	4763
653	8977	4749
654	8990	4735
655	9003	4721
656	9015	4706
